example_id,customer_text,good_reply_elements,agent_draft,human_correctness,human_groundedness,human_completeness,human_brand_voice,human_tone,human_notes
18,@AppleSupport Stuck on Activation screen with no indication of when I can proceed...,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,3,3,5,4,Grounded technical troubleshooting response.
55,"IOS 11.0.3 is the worst ever. I can't receive any call, my application are bugging. Well done @115858, @applesupport!!",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
151,"@AppleSupport Netflix works fine, when I plug my phone in to my tv via my Apple HDMI adapter it mirrors everything else but Netflix will freeze up for some reason",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,5,4,5,5,3,Grounded technical troubleshooting response.
154,@AppleSupport Thanks for getting back to me guys but it appears it’s working fine again now,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
184,Is there anyway I can disable group chats on my moms phone?@AppleSupport,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,5,Grounded technical troubleshooting response.
1,@AppleSupport when are we getting a new update that doesn’t suck and doesn’t mess with our phones? My #6s doesn’t work properly! #tired,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,5,3,4,5,4,Grounded technical troubleshooting response.
149,"@AppleSupport This has came up, it's saying that I made an in app purchase for coins. I had a subscription for this app before but I cancelled it as I no longer use this app and I never made an in app purchase with this app.. how can I sort this without paying for something I didn't do?? https://t.co/WUg3npRQqc",- Direct customer to reportaproblem.apple.com to review purchase history; outline refund request process; explain subscription cancellation steps.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=billing_app_store)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,5,5,5,5,Proper safety/escalation protocol executed.
177,Hey @AppleSupport! My Lightning to SD Card reader is importing photos on my 7 Plus pixilated &amp; not full resolution. Why is this?,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,5,3,5,5,3,Grounded technical troubleshooting response.
105,@AppleSupport I’ve read all that before and it doesn’t apply. Only way for me to make it work is to turn on Dictation,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,5,5,4,Grounded technical troubleshooting response.
71,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️  fix this @115858,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,4,5,5,4,5,Grounded technical troubleshooting response.
47,@115858 thanks for this most recent useless update.. my phone now has now battery life and charges slow,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT",5,5,5,4,4,Grounded technical troubleshooting response.
116,"Bekam jemand von Euch dieses von @AppleSupport mit #ios11 verursachte Problem der #Foto-App gelöst? Ein workaround vielleicht? In der #iCloud sind die Fotos vorhanden, aber kommen nicht zurück aufs #iPhone - bei mir fehlen 10.000 davon seit ios11 #Iphonesucks #iphone6 @216880 https://t.co/ZsmcTMPQtM",- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,4,5,5,5,Proper safety/escalation protocol executed.
67,@AppleSupport  iOS update drains my iPhone 6s battery. Please fix!,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT",5,5,5,5,5,Grounded technical troubleshooting response.
20,@AppleSupport I can't sign in to App Store. very frustrating!,- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,5,4,4,5,Proper safety/escalation protocol executed.
24,"@AppleSupport Hello, cant sign into https://t.co/gszzmLgzPl any ideas? it keeps sending the auth code to the device im using?",- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,5,5,4,5,Proper safety/escalation protocol executed.
192,"@AppleSupport scree recording when forwarding,no audio,why?",- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.,"We want to make sure you can enjoy your music seamlessly. Try toggling iCloud Music Library off and on in Settings, and restart your device. Reach out in DM if you need further help: https://t.co/GDrqU22YpT",5,5,5,5,4,Grounded technical troubleshooting response.
124,"@AppleSupport Hi, is it a known issue that after latest update ssh is no more working with all agents crashing or freezing? I.E. No @43874",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,5,4,4,5,Proper safety/escalation protocol executed.
164,@115858 why did I️ update if it makes my phone buggy and didn’t even give me Live Photo? 😒,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,4,5,5,4,4,Grounded technical troubleshooting response.
40,"Does anyone else experience issues with the message app crashing when you’re typing, and I️t just erases your entire message? It’s really frustrating when you’re having a discussion and your messages repeatedly get wiped. Is this even on the radar? @AppleSupport",- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,4,5,5,5,Proper safety/escalation protocol executed.
126,"@116333 sir i am from India and I have one complaint about apple service centre in India , I have iPhone 5s which is out of warranty and showing one issue while charging that These accessory may not be supported. I went two times at the Apple service centre for the problem.",- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,4,5,5,5,5,Proper safety/escalation protocol executed.
36,@115858 I’m having a lot of problems with this updates it’s so annoying .,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,4,4,3,5,4,Grounded technical troubleshooting response.
163,Yo @115858 why is my home button not working anymore,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
89,"@AppleSupport Camera didn’t recognize bar code? One of the kind store associates helped me out, but frustrating experience.",- Verify if issue occurs in front vs rear lens and 3rd-party apps; suggest force-closing Camera app; check iCloud Photos sync status.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,5,4,5,5,4,Grounded technical troubleshooting response.
185,"@AppleSupport It is yes, and it does work, but then my bank card appears too.",- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
46,@AppleSupport I’m only seeing it now.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
84,"@AppleSupport Do I have to buy an iPhone 8 directly from Apple to be eligible for AppleCare+ or can I buy the phone separately and add AC+ afterwards, as long as it's within 60 days of my purchase?",- Direct customer to reportaproblem.apple.com to review purchase history; outline refund request process; explain subscription cancellation steps.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=billing_app_store)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,4,5,5,5,5,Proper safety/escalation protocol executed.
197,@AppleSupport my FaceTime Live Photo’s are not saving,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,5,3,4,5,4,Grounded technical troubleshooting response.
16,"Dear @115858 @AppleSupport do you think anything else about iBooks app?? After every beta update, some documents are not come from iCloud",- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,4,5,5,5,Proper safety/escalation protocol executed.
50,What is thisssss please help! I am fully up to date according to my phone... @AppleSupport https://t.co/vgpuGwLKsd,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,4,3,4,5,4,Grounded technical troubleshooting response.
41,@AppleSupport what’s with ios11.0.3?Sluggish performance.Increased battery usage.Get trapped in apps &amp; cant get out.Mixed Reboot results.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT",5,5,5,5,5,Grounded technical troubleshooting response.
115,"@AppleSupport I have an iPhone 7 running 11.1.2 with massive battery issue (battery was fine on 10.x). In 1h28m of use (mostly Safari, no video), I have dropped 25%. See attached. Could it have anything to do with brand new Apple watch 3 with cellular? https://t.co/BvXwHL2vqF",- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,4,5,5,4,5,Proper safety/escalation protocol executed.
44,@AppleSupport Photo,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,5,4,4,5,3,Grounded technical troubleshooting response.
166,@AppleSupport I appreciate ur help :)),- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,3,5,4,Grounded technical troubleshooting response.
146,Ok @115858 you really need to get it together with this question mark box shit,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,3,Grounded technical troubleshooting response.
10,"@AppleSupport Tuesday evening I spent over 4 hours visiting your Meadowhall store, travelling over 100 miles, to pick a new iPhone X reserved for my wife. Imagine our disappointment to be told that you did not have a phone for her even after she’d received a confirmation text!!",- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
152,@AppleSupport How do I permanently switch off the ‘Live Photo’ and permanently keep on HDR? They both keep resetting after I have used my camera it’s so frustrating 😡,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,5,4,4,5,4,Grounded technical troubleshooting response.
114,"The phone’s touchscreen literally did not work and touched everything by itself like crazy just after 10 minutes after activating the iPhone X. Finally it ended up unresponsive. I paid $1,490 for this piece of rock??? @AppleSupport",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,3,5,4,Grounded technical troubleshooting response.
62,"Hey @AppleSupport, screen just popped off all of a sudden, clean fracture all around. Never dropped, no issues whatsoever up to now. Is this documented? Other cases? Battery seems inflated some, but cannot say for sure. https://t.co/Zwz0jTRIcZ",- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,4,5,5,5,Proper safety/escalation protocol executed.
79,@AppleSupport I accidentally bought an app for £6.99 but it was an accident. Pls help refund this???,- Direct customer to reportaproblem.apple.com to review purchase history; outline refund request process; explain subscription cancellation steps.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=billing_app_store)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,5,5,5,4,Proper safety/escalation protocol executed.
53,@AppleSupport @115858 your iOS 11.2 just screwed my phone. Can’t even factory reset because it won’t connect to iCloud. DON’T update your devices to this new piece of shite! Phone is getting really hot and draining battery fast!,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT",5,4,4,5,4,Grounded technical troubleshooting response.
25,@AppleSupport Sent a DM. please help,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,5,4,5,4,Grounded technical troubleshooting response.
109,@AppleSupport Thank you. So after the account recovery is successful I should be able to log her into a new iPhone? Her phone was lost so I'm trying to transfer service to another one.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,5,5,5,5,5,Proper safety/escalation protocol executed.
52,I’m tired of seeing these damn boxes @115858 fix this NOW https://t.co/r2E1xiIuBv,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,5,3,Grounded technical troubleshooting response.
191,"@AppleSupport iphone7+ crashing apps and restarting every minute, since your update. Sort it out",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,5,4,3,5,4,Grounded technical troubleshooting response.
12,Ever since I updated my phone my apple music don’t work. Wtf is the problem @115858,- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.,"We want to make sure you can enjoy your music seamlessly. Try toggling iCloud Music Library off and on in Settings, and restart your device. Reach out in DM if you need further help: https://t.co/GDrqU22YpT",4,5,5,5,4,Grounded technical troubleshooting response.
68,@AppleSupport needs to get it together and fix the question mark boxes that I keep seeing!,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,5,4,4,4,4,Grounded technical troubleshooting response.
119,"@AppleSupport Really, still? https://t.co/tNEltaT3Jt",- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,4,4,5,5,4,Grounded technical troubleshooting response.
113,My work computer crashed twice in an hour already!!! @AppleSupport fix ya shit!,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,5,4,3,4,3,Grounded technical troubleshooting response.
