golden_id,customer_tweet_id,customer_text,brand_reply_text,has_followup,followup_text,sample_layer,pseudo_intent,intent,escalate,escalate_reason,good_reply_elements
11,2864856,"@AppleSupport It’s happened when using headphones. I don’t think I’ve noticed the issue when connecting via Bluetooth yet. No issue for safari/app videos, just music &amp; podcasts","@178644 Got it. Let’s disconnect the headphones and play the music without any external devices connected. Does the same thing happen? Also, do you have another pair of headphones we can test with?",True,@AppleSupport I did a hard reset and it works now 😕😬 will circle back the next time it happens!,hard_b,connectivity_network,audio_music_playback,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.
12,267765,Ever since I updated my phone my apple music don’t work. Wtf is the problem @115858,"@179843 We want you to enjoy Apple Music and we'd like to help. To start, what happens when you try to access Apple Music?",False,,base,audio_music_playback,audio_music_playback,no,None - Standard technical troubleshooting path.,- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.
13,2564146,What is going on with my iPhone @115858 😡 All my photos disappeared outta my camera roll! #iphoneupdatesaretrash #wherearemyphotos,@727575 We want to help you find your photos! Please DM us your current location and we can assist further. https://t.co/GDrqU22YpT,False,,base,camera_photos_media,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
14,2772644,@AppleSupport I bought an iPhone and an iPad for my mum on apple store. 12 hours after the order you decided to charge my credit card for the iPad again. I wonder how your billing system even works or when I can get my $529 back.,@774966 We want to help get you pointed in the right direction. You'll want to speak to our team over in Online Store support. You'll be able to reach them here:  https://t.co/8yjRd1Xo0i,False,,hard_b,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
15,148079,"@AppleSupport I know how to do that, my problem is that my WiFi will turn on by itself and connect to a network that’s locked so I’m always having to turn it back off, it’s just frustrating","@149682 Just to be clear, are you turning Wi-Fi off in Settings &gt; Wi-Fi and it's turning back on?",True,@AppleSupport Yeah and it switches back on,base,connectivity_network,connectivity_network,no,None - Standard technical troubleshooting path.,- Guide user to Settings > General > Reset > Reset Network Settings; advise toggling Airplane Mode; ask to test on alternate Wi-Fi network.
16,686616,"Dear @115858 @AppleSupport do you think anything else about iBooks app?? After every beta update, some documents are not come from iCloud",@283937 We want to help. Which device are you using iBooks with? Tell us in DM. https://t.co/GDrqU22YpT,False,,base,system_performance_freeze,account_icloud_login,no,None - Standard technical troubleshooting path.,- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.
17,720645,Is there a way of updating an iMac from 9 years ago to the latest software? @115858,"@292478 Follow up with us in DM. We'll take a deeper look, and go over options with you there. https://t.co/GDrqU22YpT",False,,base,keyboard_autocorrect_bug,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
18,999908,@AppleSupport Stuck on Activation screen with no indication of when I can proceed...,@473177 We'd like to help. What's the exact message that you're seeing on the screen?,False,,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
19,1434301,My mac book smells burnt. How to deal with？@115858 https://t.co/qWP7qtXVnP,@207298 We'd like to help. DM us which country you're in along with any other details and we'll continue support there. https://t.co/GDrqU22YpT,False,,base,other,other,yes,Rule 2: Hardware Safety Hazard (battery thermal event/swelling).,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
20,222968,@AppleSupport I can't sign in to App Store. very frustrating!,@169252 We're happy to look into this. Could you please send us a DM so we can gather some info? https://t.co/GDrqU22YpT,False,,base,billing_app_store,account_icloud_login,no,None - Standard technical troubleshooting path.,- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.
21,1188230,"@AppleSupport Tried all that yesterday but oddly enough out the blue it’s started working again so I won’t touch anything now. You know the saying ‘if it ain’t broke then don’t fix it’.  Thanks anyway, I hope it’s all resolved now.","@399425 Fair enough. If it comes back, just let us know. Have a wonderful day.",False,,base,keyboard_autocorrect_bug,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
22,2864552,"@AppleSupport @115858 
Seems like I bought a ₹70k (&gt;1000$) phone to get crackling music Bluetooth streaming, stuck apps, loads of bugs and frozen screens just after a year :/ 
#ios11 #iPhone7 

Very poor service and feedback response.","@795656 That is certainly not the experience that we wanted you to have with your device, and we are going to do everything we can to help you. When you have a free moment, can you please DM us so that we can take a look into this together. https://t.co/GDrqU22YpT",False,,hard_b,system_performance_freeze,connectivity_network,no,None - Standard technical troubleshooting path.,- Guide user to Settings > General > Reset > Reset Network Settings; advise toggling Airplane Mode; ask to test on alternate Wi-Fi network.
23,1746038,Have to use incorrect grammar because of @115858 smh I️ get it together,@526435 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,False,,base,keyboard_autocorrect_bug,keyboard_autocorrect_bug,no,None - Standard technical troubleshooting path.,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.
24,825539,"@AppleSupport Hello, cant sign into https://t.co/gszzmLgzPl any ideas? it keeps sending the auth code to the device im using?",@316618 It looks like the Apple Bug Reporter is down for scheduled maintenance. We encourage you to try again later.,True,@AppleSupport Still quite worrying when i try to sign in on my mac it sends my mac the sign in code,hard_a,other,account_icloud_login,no,None - Standard technical troubleshooting path.,- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.
25,350086,@AppleSupport Sent a DM. please help,@199286 We see your DM and will reply there shortly.,False,,base,billing_app_store,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
26,1241461,@AppleSupport not gonna lie iOS11 sucks. Half the time my phone is a brick. Freezes up all the time. Notifications don’t show up. What gives,@411209 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,False,,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
27,1202021,@AppleSupport Unfortunately I don't have the photo library turned on for iCloud :(,"@11242 OK, thank you. Which iOS version is installed on your iPhone? Has your iPhone been restarted?",True,@AppleSupport Yes. iOS 10.2.1,base,account_icloud_login,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
28,2509411,@AppleSupport iTunes doesn’t accept my PayPal account as my payment method can you please help,"@261806 We'd like to look into this for you. Please check out the ""PayPal"" section here: https://t.co/QlgvVVFJem

If you're still running into trouble, please DM us the details of what you're experiencing and we'll go from there. https://t.co/GDrqU22YpT",False,,base,billing_app_store,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
29,2035843,@AppleSupport I accidentally broke my camera lens of my iPhone 8. Is there any way to repair that and what are the costs?,@601892 Let’s work together to determine your options. In which country are you located? Let us know via a DM. We’ll go from there. https://t.co/GDrqU22YpT,False,,base,camera_photos_media,camera_photos_media,no,None - Standard technical troubleshooting path.,- Verify if issue occurs in front vs rear lens and 3rd-party apps; suggest force-closing Camera app; check iCloud Photos sync status.
30,2676880,Thanks a lot for this new iOS @115858 @AppleSupport I love not being able to send photos and losing service randomly. Worst update yet,"@753402 We're here to help. To get started, send us a DM with your current iOS version. https://t.co/GDrqU22YpT",False,,hard_d,keyboard_autocorrect_bug,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
31,1568834,@171871 @115858 @AppleSupport @116333 Same experience on my 6s Plus. I can watch the battery percentage drop whilst using Safari.,"@597212  We can look into your battery drainage together. Send us a DM, and let us know when you completed the iOS 11.1 update. https://t.co/GDrqU22YpT",False,,base,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
32,1386572,@AppleSupport I have an iPhone 6. My apps keep force closing. My podcast library keeps having to be restored. My text thread is out of order.,"@135215 Thanks for that information. We certainly wish to help. To begin, are you fully updated to iOS 11.1?",True,@AppleSupport No. I haven't been able to because of storage issues. But I pay for extra storage so I don't understand.,base,audio_music_playback,other,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
33,2205958,@AppleSupport what the hell is up with the weird ? Box when I️ try to put an i or a?!?!!!,"@609960 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9",True,@AppleSupport I️ already did that! 🙄,base,keyboard_autocorrect_bug,keyboard_autocorrect_bug,no,None - Standard technical troubleshooting path.,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.
34,1851496,@AppleSupport I couldn't find that before but the settings are the same as what I had before the update.,@554186 Go to Settings &gt; Accounts &amp; Passwords &gt; Fetch New Data to locate these settings. Let us know the results via DM. https://t.co/GDrqU2kzhr,False,,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
35,1396722,@AppleSupport @AppleSupport Found But should be restored back to the quick access as it was previously. Thank u at least I Have back! Thanks!,@444798 You’re welcome. Please feel free to reach out any time you have questions or concerns. Hope you have a good day.,False,,base,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
36,2003368,@115858 I’m having a lot of problems with this updates it’s so annoying .,@490353 We're happy to look into issues you're having since the update. DM us details of what's happening with your device. https://t.co/GDrqU22YpT,False,,hard_c,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
37,2255327,@AppleSupport step counter in health app is not matching steps in activity app. I’m thinking it’s the phone?,@189360 We're happy to help. What is the current software version installed? To locate go to Settings &gt; General &gt; About.,True,@AppleSupport Thank you! 11.1.1 on iPhone and WatchOS 4.1,base,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
38,243331,@173788 @115858 I have same this problem😤,@173787 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can help you there. https://t.co/GDrqU22YpT,False,,base,audio_music_playback,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
39,1219256,@AppleSupport Quick question how do I reboot my iPhone when the power button isn't working. I've already enable the touch option.,@406067 We want to be sure you're able to power it back on after you power it off. Is the button physically broken?,True,@AppleSupport I can just plug it in to wake it up again. The button still clicks it just doesn't work.,hard_a,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
40,2913356,"Does anyone else experience issues with the message app crashing when you’re typing, and I️t just erases your entire message? It’s really frustrating when you’re having a discussion and your messages repeatedly get wiped. Is this even on the radar? @AppleSupport",@806495 We'd like to dig in to this in greater detail to figure out the best way to help. What type of device are you using and which OS version is currently installed? Let us know the answers via DM and we'll meet up with you there. https://t.co/GDrqU22YpT,False,,hard_b,system_performance_freeze,keyboard_autocorrect_bug,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.
41,1938449,@AppleSupport what’s with ios11.0.3?Sluggish performance.Increased battery usage.Get trapped in apps &amp; cant get out.Mixed Reboot results.,@576632 We're here to help. What applications are you using when you're experiencing these things? DM us back to continue. https://t.co/GDrqU22YpT,False,,base,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
42,339481,@115858 I hate iOS 11... its horrible and has made my iphone unusable! Last time i couldn’t use my phone i switched from @11999 to iphon,@197064 Send us a DM and let us know specifically what's happening with your iPhone. We'll do our best to help. https://t.co/GDrqU22YpT,False,,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
43,1684506,Hey @115858 how long does it take to come out with an update to fix the “ A ?” Issue? Asking for the entire world...,@511913 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,True,@AppleSupport @68258 see above thread,base,keyboard_autocorrect_bug,system_performance_freeze,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
44,585979,@AppleSupport Photo,"@258354 Does this happen in other photo modes? Also, is this only happening with the Camera app or are third-party apps experiencing the same issue?",False,,base,camera_photos_media,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
45,1957985,@AppleSupport It’s like this the whole time. https://t.co/8n7RnPYWAb,@580925 Got it. Let's have you try restarting your iPhone and let us know how that goes: https://t.co/OWRDHWSt4h,True,@AppleSupport Ok I do have another question. Does this keep happening because of iOS11? https://t.co/1m0n3CWYhW,base,other,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
46,566712,@AppleSupport I’m only seeing it now.,@252872 No problem! Automatic downloads are turned off when Low Power Mode is turned on. Let's turn Low Power Mode off and try to download them again. https://t.co/VtbR4hS4qv,True,"@AppleSupport I don’t even know what it is, I don’t know how they got there.",base,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
47,407095,@115858 thanks for this most recent useless update.. my phone now has now battery life and charges slow,@212029 We'd like to help. DM us details and let us know what country you're in. We'll go from there. https://t.co/GDrqU22YpT,False,,hard_d,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
48,1535565,Horrible day my @115858 ID got hacked now I have no computer for a couple days. #applehasletmedown the best computer company out virus free Apple but I guess the security isn’t as tight on the ID’s that hold all your info 😢😢😢,@476141 We'd like to help the best we can. Let’s team up in DM and we’ll do our best to assist you. https://t.co/GDrqU22YpT,False,,base,account_icloud_login,other,yes,Rule 3: Security Breach & Account Compromise.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
49,1869368,@AppleSupport Done that 3 times already,@558352 Have you noticed a similar issue with any other devices?,True,@AppleSupport Nope i only have my iphone,base,system_performance_freeze,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
50,2515947,What is thisssss please help! I am fully up to date according to my phone... @AppleSupport https://t.co/vgpuGwLKsd,"@716713 We are here to help. Is your device fully updated to iOS 11.1.1? You can check in Settings &gt; General &gt; About. Also, are you seeing this in other people's old messages or new messages?",True,"@AppleSupport Up to date. Just new ones across most apps, looks fine on lock screen but when I unlock it goes to that. Believe the missing letter is “i” https://t.co/isomXhl7zR",base,other,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
51,1550260,@115858 @AppleSupport when can we buy the wireless AirPod case?,@479818 Let's look into that. DM us the country you're located in and we'll go from there. https://t.co/GDrqU22YpT,False,,base,keyboard_autocorrect_bug,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
52,2118408,I’m tired of seeing these damn boxes @115858 fix this NOW https://t.co/r2E1xiIuBv,@624320 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,False,,base,other,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
53,556174,@AppleSupport @115858 your iOS 11.2 just screwed my phone. Can’t even factory reset because it won’t connect to iCloud. DON’T update your devices to this new piece of shite! Phone is getting really hot and draining battery fast!,@249918 We're happy to help. What happens when you try to connect to iCloud? Are you getting an error message? Are you currently connected to your home Wi-Fi network?,False,,base,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
54,1533003,"Tendrá solución su #IOS 11.0.3 @115858 ??? No solo los problemas en batería también en aplicaciones, nulas notificaciones, se pasman... mala decisión de actualizarlo 🙎🏻",@475472 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,False,,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
55,2676014,"IOS 11.0.3 is the worst ever. I can't receive any call, my application are bugging. Well done @115858, @applesupport!!","@753212 Let's look into this together. DM us the device you're experiencing this on, and we'll get started. https://t.co/GDrqU22YpT",False,,base,system_performance_freeze,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
56,770136,"@AppleSupport wow, after update awhile ago. How does my 7plus lose 7% batter just sitting next to me? This update drains battery!",@303905 Great battery life is important. Let's pair up in DM to get a better look at this. https://t.co/GDrqU22YpT,False,,base,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
57,2577692,"@AppleSupport Thanks but this top location still exists and I will not be going back to it, it only says share and not remove, please help. https://t.co/c3sE16WaAA","@730848 Reach out to us via DM, then we can advise you from there on this. https://t.co/GDrqU22YpT",False,,hard_d,other,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
58,829157,"@AppleSupport Having VoiceOver issues. Apps are sometimes slow, or crash. Really frustrated that I can't roll back to 10.3.3 Much more stable.","@317448 Understood. Please send us a DM with additional details, and we'll continue working towards a resolution there. https://t.co/GDrqU22YpT",False,,base,system_performance_freeze,system_performance_freeze,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
59,2618321,@AppleSupport Can I please understand why am I getting an update request for iPhone X when am using iPhone 7? https://t.co/8o1BZFMgQs,"@739943 Hey there. We'll be happy to help answer that for you. While the update targets specific issues in the iPhone X, it is available for all iOS devices compatible with iOS 11. Questions? DM us. https://t.co/GDrqU22YpT",True,"@AppleSupport Last time I update my iPhone 7, the whole screen went black and I could only see the Apple logo. Are you sure I can do the update without this happening again?",hard_a,other,system_performance_freeze,no,None - Standard technical troubleshooting path.,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.
60,2110849,"@AppleSupport have an issue with being locked out of my Apple ID, and I don't know why it's not working",@436865 Hi there. We'd like for you to gain access to your Apple ID as quickly as possible. Please follow the steps in this article: https://t.co/HH37urdbz9,True,"@AppleSupport This didn't help much the trusted ""number"" isn't a SIM card I have anymore",base,account_icloud_login,account_icloud_login,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.
61,2305918,When is @AppleSupport gonna fix my letter “l”. I’m tired of using lower case L’s as “l” without them turning into I️ 😒,"@669003 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwTn4fE",False,,base,keyboard_autocorrect_bug,keyboard_autocorrect_bug,no,None - Standard technical troubleshooting path.,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.
62,590901,"Hey @AppleSupport, screen just popped off all of a sudden, clean fracture all around. Never dropped, no issues whatsoever up to now. Is this documented? Other cases? Battery seems inflated some, but cannot say for sure. https://t.co/Zwz0jTRIcZ",@259779 We want to look into your options with you. Here's a link to DM us. https://t.co/GDrqU22YpT,False,,base,other,battery_drain_power,yes,Rule 1: Legal / Regulatory / Law Enforcement / Chargeback Threat.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
63,2122599,@AppleSupport iPhone 8 - Music bar doesn’t move along with song. https://t.co/n1UxX7a44U,@235090 Thanks for reaching out to us about this. Send us a DM and let us know what iOS version you're running. We will help you there. https://t.co/GDrqU22YpT,False,,base,other,other,no,None - Standard technical troubleshooting path.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.
64,1003825,@AppleSupport iPhone 6s is having trouble with audio while playing music.,"@357591 We'll gladly assist. Can you describe the audio trouble in detail? Also, what version of the iOS is running on that 6s?",True,@AppleSupport Im using 11.0.3. Sometimes audio doesn’t play. It plays after r starting or after sometime,base,audio_music_playback,audio_music_playback,no,None - Standard technical troubleshooting path.,- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.
65,553477,@AppleSupport It looks like photos are disappearing from my Apple Photos / iCloud account - what should I do?!,@249083 We know how important your photos are. Let's get you in touch with our Photos experts. Choose Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS here: https://t.co/IBIY3vMgPj,False,,base,account_icloud_login,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
66,1480764,Eugh. Moved iTunes to a family account and now it’s borked our photo library. Thanks @AppleSupport !,@132910 We are here to help. DM us the details of your issue. https://t.co/GDrqU22YpT,False,,base,audio_music_playback,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
67,2677919,@AppleSupport  iOS update drains my iPhone 6s battery. Please fix!,@753616 Thanks for reaching out. DM the country or region where you are currently located so we can help. https://t.co/GDrqU22YpT,False,,base,battery_drain_power,battery_drain_power,no,None - Standard technical troubleshooting path.,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.
