example_id,customer_text,good_reply_elements,agent_draft,retrieved_evidence,human_correctness,human_groundedness,human_completeness,human_brand_voice,human_tone,human_notes
29,@AppleSupport I accidentally broke my camera lens of my iPhone 8. Is there any way to repair that and what are the costs?,- Verify if issue occurs in front vs rear lens and 3rd-party apps; suggest force-closing Camera app; check iCloud Photos sync status.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@601892 Let’s work together to determine your options. In which country are you located? Let us know via a DM. We’ll go from there. https://t.co/GDrqU22YpT"", ""@570598 Let's look into your options so you can take great pics again. Please send us a DM with the current country you're in. https://t.co/GDrqU22YpT"", ""@130038 We're happy to help. Take a look here: https://t.co/A5QhKRZhQQ""]",,,,,,
97,Just fully charged my iphone &amp; it reads 51% @115858 are terrible at declaring their true percentages #ParadisePapers,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We can help point you in the right direction for billing inquiries. You can review your purchase history and request refunds at reportaproblem.apple.com. Let us know in DM if you have questions: https://t.co/GDrqU22YpT,"[""@517917 Having your iPhone's battery life indicate as accurately as possible is important. What iOS version is on the iPhone currently?"", ""@605824 Thanks for reaching out. We'd like to take a closer look at this with you. Send us a DM with more info below. https://t.co/GDrqU22YpT"", ""@328364 We're here to help find the best solution. DM us what iOS version you're on. https://t.co/GDrqU22YpT""]",,,,,,
18,@AppleSupport Stuck on Activation screen with no indication of when I can proceed...,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@473177 We'd like to help. What's the exact message that you're seeing on the screen?"", ""@474181 Be sure to check w/ carrier and then follow https://t.co/ywHIZGN4Ac"", ""@681257 Thanks for the screenshot. Please let us know what it says when you go to Settings &gt; Privacy &gt; Location Services &gt; Compass\nClick here to DM us: https://t.co/GDrqU22YpT""]",,,,,,
55,"IOS 11.0.3 is the worst ever. I can't receive any call, my application are bugging. Well done @115858, @applesupport!!",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@753212 Let's look into this together. DM us the device you're experiencing this on, and we'll get started. https://t.co/GDrqU22YpT"", ""@516014 We want to help make sure you upgrade goes smoothly. Could you give us a little detail as to the issues you are experiencing?"", ""@389157 We want to help.  Send us a DM to let us know more about what you are experiencing. https://t.co/GDrqU22YpT""]",,,,,,
151,"@AppleSupport Netflix works fine, when I plug my phone in to my tv via my Apple HDMI adapter it mirrors everything else but Netflix will freeze up for some reason",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@625821 Is everything working normally when only using it on your iPhone? Also, what is the exact iOS version you have installed?"", ""@385665 Thanks for checking that. Let's take things to DM for our next steps. https://t.co/GDrqU22YpT"", ""@285821  We'd want to get you connected with Apple TV support for help. They can be reached here: https://t.co/IBIY3vMgPj""]",,,,,,
154,@AppleSupport Thanks for getting back to me guys but it appears it’s working fine again now,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@177562 Awesome, that's what we like to hear! If you need help with anything else, just let us know."", ""@129208 We're glad to hear everything is back to normal. Please reach out to us if there is ever anything else."", ""@548079 That's great! Enjoy the rest of your day.""]",,,,,,
184,Is there anyway I can disable group chats on my moms phone?@AppleSupport,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@407914 Thanks for contacting us. You can find more information about group messages here: https://t.co/Wu8UVnr4pp"", ""@421945 We always accept feedback to help improve our products! Please visit our Feedback page: https://t.co/eTPVYVFyd8"", ""@449322 Thanks for clarifying. We would suggest deleting this conversation and having someone in it message to tap you back in.""]",,,,,,
1,@AppleSupport when are we getting a new update that doesn’t suck and doesn’t mess with our phones? My #6s doesn’t work properly! #tired,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@355302 Hi there. We'd be happy to help out. What's going on with your iPhone?"", ""@179912 We appreciate your effort. Please DM us and we'll further review this for you. https://t.co/GDrqU2kzhr"", ""@643244 We want to look into that more with you. Send us a message using the link below we'll get started there. https://t.co/GDrqU22YpT""]",,,,,,
149,"@AppleSupport This has came up, it's saying that I made an in app purchase for coins. I had a subscription for this app before but I cancelled it as I no longer use this app and I never made an in app purchase with this app.. how can I sort this without paying for something I didn't do?? https://t.co/WUg3npRQqc",- Direct customer to reportaproblem.apple.com to review purchase history; outline refund request process; explain subscription cancellation steps.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=billing_app_store)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@449731 We appreciate the additional info. You should contact our iTunes Store team directly for help: https://t.co/SDIe7UiyJN"", ""@286322 Thanks for reaching out! For this issue, reach out to our awesome iTunes Advisors by phone or chat here: https://t.co/SDIe7UiyJN"", ""@672480 To request a refund, please go to https://t.co/hHn5H4NEsj\n\nSign in with your Apple ID used to make the purchase.  Locate the item in the list and click the button to the right of it.""]",,,,,,
177,Hey @AppleSupport! My Lightning to SD Card reader is importing photos on my 7 Plus pixilated &amp; not full resolution. Why is this?,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@351367 We'd love to look into this with you. Join us in DM and provide us with your software version. Click here: https://t.co/GDrqU22YpT"", ""@136039 Hey. We're happy to help get your Mac to recognize the card. Check out this link to learn which cards are compatible and how to insert them so you Mac can detect the SD Card: https://t.co/CFF6Aov8cd\nLet us know if that resolves the issue for you."", ""@297002 We want to help. Send us a DM and let us know what is going on and we'll go from there. https://t.co/GDrqU22YpT""]",,,,,,
105,@AppleSupport I’ve read all that before and it doesn’t apply. Only way for me to make it work is to turn on Dictation,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@142965 Got it. Reach out to your carrier to be sure this is a supported feature, then update us in DM: https://t.co/GDrqU22YpT"", ""@151810 Were you able to go through the part where it shows how to save the photos or videos from iCloud?"", ""@325989 The email address we provided is their only contact.""]",,,,,,
71,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️  fix this @115858,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,"[""@123976 We'd love to help figure this out with you today. Which iOS version are you using under Settings &gt; General &gt; About?"", ""@766389 iOS 11.1.2 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6"", ""@527909 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/qODbOsp4wz""]",,,,,,
47,@115858 thanks for this most recent useless update.. my phone now has now battery life and charges slow,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@212029 We'd like to help. DM us details and let us know what country you're in. We'll go from there. https://t.co/GDrqU22YpT"", ""@690661 Let's take a look at it together. Please join us in DM to get started. https://t.co/GDrqU22YpT"", ""@473022 Alright, let us know if these steps help: https://t.co/EqJrZrFL9k""]",,,,,,
116,"Bekam jemand von Euch dieses von @AppleSupport mit #ios11 verursachte Problem der #Foto-App gelöst? Ein workaround vielleicht? In der #iCloud sind die Fotos vorhanden, aber kommen nicht zurück aufs #iPhone - bei mir fehlen 10.000 davon seit ios11 #Iphonesucks #iphone6 @216880 https://t.co/ZsmcTMPQtM",- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@122941 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj"", ""@432512 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj"", ""@324543 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj""]",,,,,,
67,@AppleSupport  iOS update drains my iPhone 6s battery. Please fix!,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,"We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@753616 Thanks for reaching out. DM the country or region where you are currently located so we can help. https://t.co/GDrqU22YpT"", ""@271652 We'd like to help. Could you please DM us the device you're using? We'll get started then. https://t.co/GDrqU22YpT"", ""@__0Fenomeno__ We can help improve your battery performance. Let’s start with these steps here: https://t.co/bivpdfBNJ6""]",,,,,,
20,@AppleSupport I can't sign in to App Store. very frustrating!,- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@169252 We're happy to look into this. Could you please send us a DM so we can gather some info? https://t.co/GDrqU22YpT"", ""@406950 We want you to be able to download and update all the apps that you enjoy. Send us a DM and we'll look into this together. https://t.co/GDrqU22YpT"", ""@392120 We'd be happy to look into this with you.  Please reach out to us via DM and we'll get started. https://t.co/GDrqU22YpT""]",,,,,,
24,"@AppleSupport Hello, cant sign into https://t.co/gszzmLgzPl any ideas? it keeps sending the auth code to the device im using?",- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@638724 Awesome! Thank you for letting us know. Just to confirm, are you still experiencing the same behavior with your flash?"", ""@789014 We'd be happy to help. Send us a DM so we may look further into this with you. https://t.co/GDrqU22YpT"", ""@140194 Thanks for reaching out. We don't show an iCloud outage at the moment. We can definitely look into this further.\nDo you still experience the same behavior after you restart your iPhone? \nDo you have the same results when you're connected to a cellular network? https://t.co/GDrqU22YpT""]",,,,,,
192,"@AppleSupport scree recording when forwarding,no audio,why?",- Inquire whether issue occurs on downloaded vs streamed music; recommend toggling iCloud Music Library / Sync Library; suggest reinstalling Music app.,"We want to make sure you can enjoy your music seamlessly. Try toggling iCloud Music Library off and on in Settings, and restart your device. Reach out in DM if you need further help: https://t.co/GDrqU22YpT","[""@156529 Hey, we want to hear more about what's going on so that we can help. Please DM us some more details and we'll go from there. https://t.co/GDrqU22YpT"", ""@546082 Let's look into this together. Is the recording saved in your Photos app? Does it play with audio? Please DM us to proceed. https://t.co/GDrqU22YpT"", ""@672101 We'd love to find out what's going on with the call forwarding. Is this feature available with your carrier?""]",,,,,,
124,"@AppleSupport Hi, is it a known issue that after latest update ssh is no more working with all agents crashing or freezing? I.E. No @43874",- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@395501 Let's look into this together. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT"", ""@716722 We’d love to help. We have a helpful guide for when you can’t make or receive calls, which you can see here: https://t.co/U53YusKX3z Have you had a chance to speak with your carrier? Also, have you had a chance to check for a carrier update?"", ""@582136 Battery life is important, and we'd love to team up with you. Send us a DM to get started. https://t.co/GDrqU22YpT""]",,,,,,
164,@115858 why did I️ update if it makes my phone buggy and didn’t even give me Live Photo? 😒,- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,"[""@591344 We want to be sure your iPhone is working normally. Send us a DM and let us know more about the issue you're seeing. https://t.co/GDrqU22YpT"", ""@251802 That is correct."", ""@343720 We'll be happy to look into this with you today. After changing the setting, let's restart the iPhone. Does it continue?""]",,,,,,
40,"Does anyone else experience issues with the message app crashing when you’re typing, and I️t just erases your entire message? It’s really frustrating when you’re having a discussion and your messages repeatedly get wiped. Is this even on the radar? @AppleSupport",- Acknowledge known iOS autocorrect letter glitch; provide Settings > Keyboard > Text Replacement workaround; advise updating to latest iOS patch.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@806495 We'd like to dig in to this in greater detail to figure out the best way to help. What type of device are you using and which OS version is currently installed? Let us know the answers via DM and we'll meet up with you there. https://t.co/GDrqU22YpT"", ""@510049 OK. We want to get you a resolution. Restart your iPhone and let us know in DM if it comes back up. https://t.co/GDrqU22YpT"", ""@183650 We'll be happy to look into  what's going on. Can you tell us which device and iOS version you're using?""]",,,,,,
126,"@116333 sir i am from India and I have one complaint about apple service centre in India , I have iPhone 5s which is out of warranty and showing one issue while charging that These accessory may not be supported. I went two times at the Apple service centre for the problem.",- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,[ESCALATED TO HUMAN SPECIALIST: model:severe_sentiment] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@606401 We’d like to take a closer look at this. Can you start by letting us know more about the situation via DM? https://t.co/GDrqU22YpT"", ""@288350 We have received your DM. We will work with you there. https://t.co/GDrqU22YpT"", ""@195831 Hi there. Send us a DM and we will look into this with you. https://t.co/GDrqU22YpT""]",,,,,,
36,@115858 I’m having a lot of problems with this updates it’s so annoying .,- Request exact device model and iOS version; suggest force-restart; offer DM link for step-by-step diagnostic settings.,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@490353 We're happy to look into issues you're having since the update. DM us details of what's happening with your device. https://t.co/GDrqU22YpT"", ""@546724 Thanks for reaching out to us. We'd like to help you with your phone. Please DM us with what's going on with your phone. https://t.co/GDrqU22YpT"", ""@582997 We'd be happy to help. Let us know in DM what you're experiencing and we'll get started on this together. https://t.co/GDrqU22YpT""]",,,,,,
163,Yo @115858 why is my home button not working anymore,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@812888 We want your Home button working, and we'll do all we can to help. To get started, let us know what type of iOS device you have and what is its iOS version? Also, can you describe for us how the Home button isn't working?"", ""@166024 We know how important the Home button is &amp; we'll help. Which device is this? Have you tried a restart? https://t.co/n9BF3L9h6y"", ""@555845 We want to make sure your Home button is working as expected. Please send us a DM with your iOS so we may better assist. https://t.co/GDrqU22YpT""]",,,,,,
89,"@AppleSupport Camera didn’t recognize bar code? One of the kind store associates helped me out, but frustrating experience.",- Verify if issue occurs in front vs rear lens and 3rd-party apps; suggest force-closing Camera app; check iCloud Photos sync status.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@557775 Does it appear to be working now? If not, let's pair up in DM to get a closer look at what happened here. https://t.co/GDrqU22YpT"", ""@286663 What happens when you attempt to use your camera? Does this only happen in certain apps?"", ""@420017 We want to help with your camera. Is this happening on both front and rear cameras?""]",,,,,,
185,"@AppleSupport It is yes, and it does work, but then my bank card appears too.",- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@217052 Has this always happened, or did it start recently? Which iOS version are you running? Let us know in DM: https://t.co/GDrqU22YpT"", ""@448571 Thanks. We've got a great guide to share with you. Let us know if this helps connect to the iTunes Store: https://t.co/yoNhV7Et2A"", ""@519001 Great. If you aren't seeing any changes after following the provided steps, please send us a DM. https://t.co/GDrqU22YpT""]",,,,,,
46,@AppleSupport I’m only seeing it now.,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@252872 No problem! Automatic downloads are turned off when Low Power Mode is turned on. Let's turn Low Power Mode off and try to download them again. https://t.co/VtbR4hS4qv"", ""@667925 Thanks for letting us know. Are you still seeing them when you type or in other people's messages? Let us know in DM. https://t.co/GDrqU22YpT"", ""@690174 Thanks for letting us know! Let us know which device you’re using in DM. We’ll take a closer look at this with you there. https://t.co/GDrqU22YpT""]",,,,,,
84,"@AppleSupport Do I have to buy an iPhone 8 directly from Apple to be eligible for AppleCare+ or can I buy the phone separately and add AC+ afterwards, as long as it's within 60 days of my purchase?",- Direct customer to reportaproblem.apple.com to review purchase history; outline refund request process; explain subscription cancellation steps.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=billing_app_store)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@140204 That's a great question! No, you don't have to buy your iPhone directly from us. Please take a look at the following article for some guidance on purchasing an AppleCare plan for your device: https://t.co/brpZQUaYqu"", ""@685602 Great question! We're happy to help out! The amount of time to purchase varies depending on the country of purchase. You can check if you're eligible to add AppleCare+ using the steps found here: https://t.co/brpZQUaYqu"", ""@221513 Were you able to reach out to our iTunes Store Support earlier when advised? DM the answer below. https://t.co/GDrqU22YpT""]",,,,,,
197,@AppleSupport my FaceTime Live Photo’s are not saving,- Acknowledge battery drain issue; instruct checking Settings > Battery for high-usage apps; provide DM link for battery diagnostics.,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@313548 We'd be happy to help. To start, which version of iOS are you using. You can check in Settings &gt; General &gt; About."", ""@430724 Let's get this figured out. Make sure your settings reflec these and let us know the result: https://t.co/zyhREiZuaK"", ""@266464 Check to see that FaceTime Live Photos turned on in Settings &gt; FaceTime. Your FaceTime Live Photo will be saved in either the Camera Roll or if you use iCloud Photo Library in the All Photos album. For more info check our or iPhone User Guide: https://t.co/ofWdghkjA6""]",,,,,,
16,"Dear @115858 @AppleSupport do you think anything else about iBooks app?? After every beta update, some documents are not come from iCloud",- Direct user to iforgot.apple.com; guide through Two-Factor Authentication recovery steps; caution against sharing credentials publicly.,[ESCALATED TO HUMAN SPECIALIST: model:escalation_prone_intent(intent=account_icloud_login)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.,"[""@283937 We want to help. Which device are you using iBooks with? Tell us in DM. https://t.co/GDrqU22YpT"", ""@472928 Does this happen during every call? Meet us in a DM, we'll continue there. https://t.co/GDrqU22YpT"", ""@484688 Let's take things to DM from here to work on our next steps. https://t.co/GDrqU22YpT""]",,,,,,
50,What is thisssss please help! I am fully up to date according to my phone... @AppleSupport https://t.co/vgpuGwLKsd,- Acknowledge customer feedback empathetically; ask clarifying questions regarding specific behavior; provide official Apple Support resources.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@716713 We are here to help. Is your device fully updated to iOS 11.1.1? You can check in Settings &gt; General &gt; About. Also, are you seeing this in other people's old messages or new messages?"", ""@448297 Let's make sure your iPhone is backed up and move on to step 7 in this article:\nhttps://t.co/sXbhzfS2lM"", ""@244392 If there are no more updates in Settings &gt; General &gt; Software Update, the next step is to see if the battery works properly.""]",,,,,,
