golden_id,customer_text,draft_reply,retrieved_replies,human_correctness,human_groundedness,human_completeness,human_brand_voice,human_tone
32,@AppleSupport I have an iPhone 6. My apps keep force closing. My podcast library keeps having to be restored. My text thread is out of order.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@135215 Thanks for that information. We certainly wish to help. To begin, are you fully updated to iOS 11.1?', '@692603 We want to help you to watch your movie uninterrupted, and without issue. Do you get an error message? If so, what does it say? Send us a DM with more details so we can help you out. https://t.co/GDrqU22YpT', ""@724293 Let's try all the steps here: https://t.co/MevoR4xPNn . DM the results. https://t.co/GDrqU22YpT""]",,,,,
33,@AppleSupport what the hell is up with the weird ? Box when I️ try to put an i or a?!?!!!,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,"['@609960 An update has been released to assist with this issue. If you haven’t yet, please back up your device and update it to the latest version iOS 11.1.1. For more info, check out: https://t.co/xXaXeeSRt9', ""@467798 We want to look into this. DM us your device and OS version and we'll continue there. https://t.co/GDrqU22YpT"", ""@358786 We're eager to assist. Send us a DM with your iPhone model and if you've updated to iOS 11.1. https://t.co/GDrqU22YpT""]",,,,,
35,@AppleSupport @AppleSupport Found But should be restored back to the quick access as it was previously. Thank u at least I Have back! Thanks!,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@444798 You’re welcome. Please feel free to reach out any time you have questions or concerns. Hope you have a good day.', '@470180 Does this happen every time you sync?  Which version of iTunes are you using?', '@302598 Excellent! Please feel free to reach out to us again if you need any more help. We’re available every day to answer your questions from 5am-8pm Pacific. Have a great day!']",,,,,
38,@173788 @115858 I have same this problem😤,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@173787 Thanks for reaching out to us. We are always happy to help. Send us a DM so we can help you there. https://t.co/GDrqU22YpT', '@463836 Hey there. You can send us a DM is as well so we can look into it with you. https://t.co/GDrqU22YpT', ""@287497 That should not be happening. We'd be happy to help. Let's move over to DM to continue looking into this. Let us know your iOS version. You can check for that in Settings &gt; General &gt; About. https://t.co/GDrqU22YpT""]",,,,,
39,@AppleSupport Quick question how do I reboot my iPhone when the power button isn't working. I've already enable the touch option.,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@368494 We want to help you with your Side Button on your iPhone. Please send us a DM and tell us which country you're in. https://t.co/GDrqU22YpT"", ""@516903 That's a great question. Here's a link that will show you how to restart the phone: https://t.co/OWRDHWSt4h"", ""@595018 We'd like to look into this with you. Send us a DM by clicking on the link below. We'll continue there. https://t.co/GDrqU22YpT""]",,,,,
49,@AppleSupport Done that 3 times already,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@558352 Have you noticed a similar issue with any other devices?', ""@251797 Let's help. Please follow back up with us in DM and we can go from there. https://t.co/GDrqU22YpT"", ""@623563 Thanks. We've received your DM. Look for our response there! We look forward to working with you on a solution.""]",,,,,
51,@115858 @AppleSupport when can we buy the wireless AirPod case?,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@479818 Let's look into that. DM us the country you're located in and we'll go from there. https://t.co/GDrqU22YpT"", '@342230 Thanks for your interest. These are 1 of 1, but check out our Studio3 Wireless here:\nhttps://t.co/6RtQKHcFrG', '@223740 A thick case, metal case, or battery case may need to be removed for wireless charging. Purchasing help: https://t.co/8yjRd1Xo0i']",,,,,
54,"Tendrá solución su #IOS 11.0.3 @115858 ??? No solo los problemas en batería también en aplicaciones, nulas notificaciones, se pasman... mala decisión de actualizarlo 🙎🏻",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@475472 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs', '@283744 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs', '@402592 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs']",,,,,
56,"@AppleSupport wow, after update awhile ago. How does my 7plus lose 7% batter just sitting next to me? This update drains battery!","We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@303905 Great battery life is important. Let's pair up in DM to get a better look at this. https://t.co/GDrqU22YpT"", ""@514856 You're welcome. Have a great day."", '@445219 Have you had a chance yet to update to iOS 11.0.3? This will help you back up and update if not: https://t.co/80YRnjDFDk']",,,,,
58,"@AppleSupport Having VoiceOver issues. Apps are sometimes slow, or crash. Really frustrated that I can't roll back to 10.3.3 Much more stable.","[ESCALATED TO HUMAN SPECIALIST: model:severe_assessment (High-risk legal, security, or physical hazard detected.)] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.","[""@317448 Understood. Please send us a DM with additional details, and we'll continue working towards a resolution there. https://t.co/GDrqU22YpT"", ""@402413 We'd like to help! Are you experiencing any issues with iOS 11?"", ""@407447 We'd be happy to look this over with you. Please meet us in DM so we may better assist: https://t.co/GDrqU22YpT""]",,,,,
60,"@AppleSupport have an issue with being locked out of my Apple ID, and I don't know why it's not working","[ESCALATED TO HUMAN SPECIALIST: rule:security_breach ('locked out of'): Security breach, account takeover, or compromised credentials.] We want to ensure you get dedicated support on this urgent matter. Our senior team has been notified and will assist you directly.","[""@436865 Hi there. We'd like for you to gain access to your Apple ID as quickly as possible. Please follow the steps in this article: https://t.co/HH37urdbz9"", '@288336 We’re here to help. Tell us a bit about what is happening and we’ll work with you to find a solution.', '@496655 We have received your DM and will respond there shortly.']",,,,,
61,When is @AppleSupport gonna fix my letter “l”. I’m tired of using lower case L’s as “l” without them turning into I️ 😒,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,"['@669003 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwTn4fE', '@531090 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9', ""@495468 Thanks for reaching out! We're glad to help. We've got a guide to share with you regarding this issue: https://t.co/xU1AGHStV6""]",,,,,
64,@AppleSupport iPhone 6s is having trouble with audio while playing music.,"We want to make sure you can enjoy your music seamlessly. Try toggling iCloud Music Library off and on in Settings, and restart your device. Reach out in DM if you need further help: https://t.co/GDrqU22YpT","[""@357591 We'll gladly assist. Can you describe the audio trouble in detail? Also, what version of the iOS is running on that 6s?"", ""@484569 Let's try the steps listed in this article. https://t.co/xU1AGHStV6. Let us know if you need any further help."", ""@541591 We'd like to help. Tell us more about the issue you're experiencing and which device and system you're using via DM. https://t.co/GDrqU22YpT""]",,,,,
65,@AppleSupport It looks like photos are disappearing from my Apple Photos / iCloud account - what should I do?!,We'd like to help you regain access to your account securely. You can reset your password at iforgot.apple.com. Feel free to DM us if you run into any trouble: https://t.co/GDrqU22YpT,"[""@249083 We know how important your photos are. Let's get you in touch with our Photos experts. Choose Apps &amp; Software &gt; iOS Apps &gt; Photos for iOS here: https://t.co/IBIY3vMgPj"", ""@588526 We're happy to help! Join us in DM with more details about when this issue first started, as well as the country you're located in. https://t.co/GDrqU22YpT"", ""@218518 We're here to help. We recommend estimating the weight until you get the exact number. You can go back in to make the change.""]",,,,,
70,I'm heated my phone's charging port won't work and now my phone won't turn back on @115858 does a shitty job with these iPhones I stg,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@476534 Hi. We're here to help. Have you checked out the steps here: https://t.co/8MvHMFZ83h"", ""@806033 We're here for you! Can you clarify what's happening when you try to start up? If the device is not powering up at all, this article may help: https://t.co/FYojVXHuwn"", ""@489569 Hey there! We've received your DM and will join you there shortly. Thanks!""]",,,,,
74,iOS 11 doesn’t talk to my car’s entertainment system anymore. Worked great on 10. Thanks @AppleSupport ! https://t.co/uIYzE9OzBI,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@308952 We're happy to help. Can you tell us which version of iOS 11 you are currently using please?"", ""@458604 We're here to help with your iPhone X. To start, send us a DM and we'll continue together from there. https://t.co/GDrqU22YpT"", ""@510141 That's great news. We're happy you're able to hear your alarms again so you won't be late. Have a great rest of your day.""]",,,,,
75,How the shit am I charging my phone and it goes from 98 to 81 percent? @115858 wth,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@775086 We can help get this charging like it should. Are you using the Apple branded charger and adapter that came with your iPhone? What phone and iOS do you have?', ""@374749 We'd like to get to the bottom of this. Are you meaning iOS 11.0.3? Also, are you using an Apple certified charger?"", ""@607029 We'd like to see how we can assist with your camera and battery life. DM us your iPhone model and iOS version to begin. https://t.co/GDrqU22YpT""]",,,,,
77,"@AppleSupport my iphone 6s is rendered two 2 hours. Drained battery, killed all non used apps and still two hours. #newiosblows","We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@123705 Let's look into what's happening together. Send us a DM telling us the country you're located in to begin. https://t.co/GDrqU22YpT"", '@776326 Thanks for reaching out to us about this. We’ve received your DM, so we’ll work with you there.', ""@567861 Let's work together to figure out what may be the cause. To begin, join us in DM with an approximate date you updated to 11.0.3. https://t.co/GDrqU22YpT""]",,,,,
78,"@AppleSupport whatever is wrong with the operating system, you people need to fix.  I’ve had this 7 for a few months and this phone has been a pain in the ass for the last month or so.",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@582125 We're glad to help. Tell us what's going on? Also, what version of iOS are you currently running? Find that in Settings &gt; General &gt; About."", ""@614503 We'd be happy to assist you with this.  Please let us know in DM the issues you're having and we'll continue from there. https://t.co/GDrqU22YpT"", '@204728 Let’s team up in DM and we’ll do our best to assist you. https://t.co/GDrqU22YpT']",,,,,
82,@115858 can you help me ? https://t.co/10qVPVahne,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@224795 Thanks for reaching out to us for support. We would love to help you. When you have a free moment, please check out the following link for support. \n\nIf your Apple ID is locked or disabled\nhttps://t.co/HH37urdbz9', ""@342363 We have a great article to help with what you're seeing. Check out the steps here: https://t.co/CPIXyxe7mK"", '@354901 Thanks for reaching out. The steps in this article can help https://t.co/Ui1yTnOCUz']",,,,,
87,Hey @115858 can you PLEASE update iOS so my Bluetooth stops disconnecting from my car every five minutes?,Let's work together to get this sorted out. We recommend resetting your Network Settings via Settings > General > Reset > Reset Network Settings. Send us a DM if the issue persists: https://t.co/GDrqU22YpT,"[""@549235 We can offer some assistance. Which device are you having this issue with? Let us know in DM and we'll continue there. https://t.co/GDrqU22YpT"", ""@437766 We'd like to help with this Bluetooth issue. Are there any other Bluetooth devices you use? If so, does the same happen?"", ""@249496 We'd be glad to be of assistance. We have addressed this issue in our recent iOS 11.2 update: https://t.co/Wc5MHFZb0p""]",,,,,
88,@AppleSupport I’m so over iphones at this point. there’s always something wrong with my phone. i need assistance please,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@212364 We're happy to see how we can help with your iPhone. To get started, DM us what's going on. We'll meet you there. https://t.co/GDrqU22YpT"", ""@166883 We're here to help you, glad you reached out to us. We've received your DM and will meet up with you there. https://t.co/GDrqU22YpT"", ""@376351 We'd be happy to see how we can help. What's going on?""]",,,,,
90,"@115858 @AppleSupport Hi, hope you can assist.I recently lost my phone however I still have my apple watch. Do you know of an app that can help with regards to getting workouts synched for vitality etc. Thanks",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@270259 We're sorry to hear about the loss of your iPhone. To sync your data, the Apple Watch would need a synced iPhone. DM us if you have further questions on this. https://t.co/GDrqU22YpT"", ""@393965 DM us using the link below. We'll work together from there. https://t.co/GDrqU22YpT"", ""@526638 Thanks for that info. Can you tell us more about what exactly you've been experiencing?""]",,,,,
95,@AppleSupport Can you explain to me as to why earlier when I went into my photos app on my phone that it shut down and now all my photos are gone? Including the ones that were transferred over to my iCloud... they are also gone. Cheers. I want an explanation...,We'd like to help you regain access to your account securely. You can reset your password at iforgot.apple.com. Feel free to DM us if you run into any trouble: https://t.co/GDrqU22YpT,"[""@714728 We'd love to help with this. First, we know how important your pictures and videos are so we'd like to check to make sure they're available on your account by signing into the iCloud website: https://t.co/MdGttkkFL9 DM us using the following link and we'll dig in. https://t.co/GDrqU22YpT"", ""@309755 We don't want you to miss out on your favorite photos. We can help! We've received your DM and will continue there."", ""@669009 We'd like to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT""]",,,,,
99,"IOS 11.1.2 battery draining is shitting on me. My iPhone 6S’ battery literally goes from 70% to 30% in minutes, and to make it worse, it takes over 4 hours to fully charge. @AppleSupport","We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@149299 We want to help. DM us if this has only been happening since the most recent update and let us know which country you're in. We'll go from there. https://t.co/GDrqU22YpT"", ""@612780 You’ve come to the right place! Let’s look into what’s happening. There can be many factors which affect the performance of your iPhone battery. Let's begin by checking for a message in Settings &gt; Battery like seen here: https://t.co/KyywFa9iZ3 DM us the results. https://t.co/GDrqU22YpT"", ""@781749 Let's look into this together. Please send us a DM to continue. https://t.co/GDrqU22YpT""]",,,,,
100,@115858 I can't ACTIVATE MY NEW PHONE bc i need a verification code being sent to my phone that I can't get until it's activated pls help,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@156828 We'd like to know more about the issue you're experiencing to see if we can help. DM us with the details. https://t.co/GDrqU22YpT"", ""@594380 We're happy to help. You can check out this article for steps to try to get your verification code. https://t.co/gZlEJEsNrU"", ""@432736 We'd be glad to provide some help with this. Review the following article and let us know if this helps: https://t.co/y8ghmuXVpf""]",,,,,
101,"@AppleSupport I just opened my new iPhone X, Apple Watch can be paired with both phones at the same time?",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@336779 Do also experience this issue with other apps like iTunes and App Store?', ""@373371 Send us a DM. We'll go over this from there. https://t.co/GDrqU22YpT"", '@697422 That’s not the experience we want you to have with your devices. Let’s team up to get these issues addressed. Could you let us know more details via a DM? We’ll keep moving from there. https://t.co/GDrqU22YpT']",,,,,
103,"@115858 @AppleSupport A phone that costs this much money shouldn’t have any problems, but no, mine is full of bugs and glitches that “aren’t fixable”.",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@592188 Let’s work together on this situation. Could you let us know more details via a DM? We’ll keep moving forward from there. https://t.co/GDrqU22YpT', ""@607807 We'd like to help if we can. Send us a DM with more details and we'll look to help you out from there. https://t.co/GDrqU2kzhr"", ""@179093 We'd like to look into this with you. Could you Direct Message us and let us know what apps this occurs with? https://t.co/GDrqU22YpT""]",,,,,
104,"My dad has spent 5hrs trying to sort out his new #iphone8 
Laughing at him stopped being funny 2hrs ago. 
@115858 SEND HELP https://t.co/XWuRRfraqc",We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"['@628529 We’ll be glad to partner with your dad. Have him send us a DM here: https://t.co/GDrqU22YpT', '@595816 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 \n\nDM us if you still need help. https://t.co/GDrqU22YpT', ""@594544 We've got you today. Check out https://t.co/xU1AGHStV6 for steps to address this concern and DM us if we can help further. https://t.co/GDrqU22YpT""]",,,,,
106,@AppleSupport I have a month with my iPhone 8plus³ and still do not finish loading my photos.! I have good Internet and no load!,We want to help ensure your photos and camera are working properly. Does this happen in both front and rear camera modes? Please send us a DM so we can troubleshoot: https://t.co/GDrqU22YpT,"[""@386788 Hi there! We've received your DM as well and look forward to working with you there."", ""@793018 Thanks for reaching out!  Which iPhone do you have and which iOS version is running on it? Also, can you tell us what specific error symbol or message you're seeing on your photos?"", ""@758995 We'd be happy to get you pointed in the right direction. Have you checked to make sure the iCloud Photo Library is turned on? See: https://t.co/8YUslsnsM5 For further help, please reach out to our team specializing in Photos here: https://t.co/IBIY3vMgPj""]",,,,,
107,@AppleSupport I️ please fix your bug in the latest update please,We're aware of this keyboard autocorrect issue and working on a permanent update. You can temporarily resolve it via Settings > General > Keyboard > Text Replacement. Send us a DM if you need guidance: https://t.co/GDrqU22YpT,"['@514843 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9', ""@170424 We're happy to help however we can. Let us know in DM what issues you're experiencing and we'll continue there. https://t.co/GDrqU22YpT"", '@631026  Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9']",,,,,
108,fix your ish @115858 https://t.co/W7knTsBXhI,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@583847 We'd like to look into this with you. Please DM us your current iOS version and what kind of iPhone you're using. https://t.co/GDrqU22YpT"", '@512705 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9', ""@604435 Thanks for reaching out. We'd like to look into things a bit closer. Does restarting the iPhone bring about any changes? DM us. https://t.co/GDrqU22YpT""]",,,,,
110,@AppleSupport I have updated to the latest version and now my phone is slower than ever!! What in the fuck??? Either give me my 700$ back or fix my phone. I want it to be as fast as it was the day I purchased it. And no memory is not full cause it’s the 64gb! Fix this @115858,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@130049 Let's check this out together. Follow us to DM and we'll take a closer look. https://t.co/GDrqU22YpT"", '@569819 Does this occur when connecting via Cellular data, Wi-Fi or both? Also, since the update have you checked for any carrier updates? If not, this article can help: https://t.co/sAc6FQIdW2', ""@470177 We're here to help. Send us a DM by clicking on the link below. We'll go from there. https://t.co/GDrqU22YpT""]",,,,,
111,So I keep getting unknown errors when I try to update my phone... @AppleSupport what's good?,We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@462797 Send us a DM and let us know what version of iOS you're running. We'll go from there. https://t.co/GDrqU22YpT"", '@387872 The steps in this article can help: https://t.co/Ui1yTnOCUz Please DM us if the issue continues. https://t.co/GDrqU22YpT', ""@603940 We want to make sure your iPhone works the way you expect it to. Let's get paired up in DM to get started. https://t.co/GDrqU22YpT""]",,,,,
112,"Phone freezes all the time now. I'll be in the middle of typing an iMessage &amp; it just stops typing, then jolts back to life like a frozen computer. All of my apps freeze as well. Snapchat/tinder the most. This is literally the worst update ever for a phone. @AppleSupport #ios1103",We'd like to help get your device running smoothly again. What version of iOS are you currently using? Please send us a DM with more details so we can assist: https://t.co/GDrqU22YpT,"[""@267786 We're here for you. Send us a DM, and we'll continue investigating this issue together there. https://t.co/GDrqU22YpT"", '@601490 We want you to enjoy your iPhone issue free. Let’s see what’s going on. DM us more about the issues you’re experiencing. https://t.co/GDrqU22YpT', '@490340 Did you know you can report issues with Maps? Check out this article: https://t.co/jiMIBQw7go']",,,,,
117,@AppleSupport 2007 iMac running 10.11.6.  Suddenly keep getting warning about this Mac can’t connect to iCloud error. However messages and FaceTime calls keep coming through.,We'd like to help you regain access to your account securely. You can reset your password at iforgot.apple.com. Feel free to DM us if you run into any trouble: https://t.co/GDrqU22YpT,"['@724286 We want to help. Could you tell us what version of iOS you have on your iPhone? Also, has this feature ever worked as expected?', ""@361913 We definitely want to make sure you're not missing any messages. Join us in DM please and let us know when this started. https://t.co/GDrqU22YpT"", '@118713 We understand how tough that is. Please send us a DM to let us know if you have a recent backup in iCloud, or iTunes. https://t.co/GDrqU22YpT']",,,,,
121,"@AppleSupport old 6S iCloud backup “cannot delete at this time”, been trying for 2 days now. Can you help me get rid of it?",We'd like to help you regain access to your account securely. You can reset your password at iforgot.apple.com. Feel free to DM us if you run into any trouble: https://t.co/GDrqU22YpT,"['@268292  Here is a link on how to delete the back up. Please reach out in DM if you are still having the issue https://t.co/vU7gSUiOfd', '@223874 We appreciate you contacting us about this situation. We always want our customers to have the best experience. Let\'s hop into DM and get to the bottom of this ""Other"" data: https://t.co/GDrqU22YpT', ""@726039 We know how convenient it is to have your device downloaded onto your device with Apple Music. Let's work together and look into this with you. Can you provide us which iOS version you're using? You can locate the iOS from Settings &gt; General &gt; About &gt; Version.""]",,,,,
127,@AppleSupport Wow thanks!,We're here to help! Please send us a Direct Message with your device model and iOS version so we can look into this further: https://t.co/GDrqU22YpT,"[""@313826 No problem, we're happy to help!"", ""@645410 You're welcome.  Feel free to reach out to us if you have any further questions.  Have a wonderful day!"", '@753225 Thanks! Please try these steps and let us know the result: https://t.co/p76Gaa97kg https://t.co/GDrqU22YpT']",,,,,
129,"@115858 As much as I love Apple and have sworn by it I have to agree with that IOS11 has ruined my 6s ... it locks up, the battery is drained and my camera has stopped working 😂 going by how well I look after my phone personally I would of expected abit better out of the software","We understand how important battery life is. Take a look at Settings > Battery to check which apps are using the most power. If you still need help, send us a DM and we'll run diagnostics: https://t.co/GDrqU22YpT","[""@257972 We want to help with your performance concerns. Reach out via DM using the link below and let us know what version of iOS 11 you're using. You can check by tapping Settings &gt; General &gt; About. https://t.co/GDrqU22YpT"", '@277173 We can assist you. Please DM us via the following link and provide details regarding the issue you are experiencing. https://t.co/GDrqU22YpT', ""@207437 We'd like to see if we can help. Send us a DM with more information, and we'll continue from there. https://t.co/GDrqU22YpT""]",,,,,
